generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
26000,Chlorurus_atrilunula,Scarus_altipinnis,8.64102,1.49276,-0.224822,0.0511384,0
27000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.458222,-0.28911,0.0366753,0
27000,Chlorurus_enneacanthus,Chlorurus_perspicillatus,13.119,0.542671,-0.00310214,0.357727,0
27000,Scarus_dimidiatus,NA,15.5185,1.73744,0.0106607,0.912187,0
27000,Chlorurus_atrilunula,Scarus_altipinnis,7.67271,1.28175,-0.170253,0.0635662,0
28000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0724097,0.183419,0.138675,0
28000,Chlorurus_atrilunula,Scarus_altipinnis,6.84988,2.39839,-0.235456,0.0563733,0
29000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.529544,-0.041874,0.268742,0
29000,Chlorurus_gibbus,Chlorurus_strongylocephalus_G,14.7977,1.235,0.0792107,0.0197484,0
29000,Chlorurus_atrilunula,Scarus_altipinnis,8.67061,1.27127,-0.206971,0.11051,0
29000,Cetoscarus_biocolor,NA,4.85635,0.720316,-0.0897842,0.920564,0
30000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0747573,0.00594125,0.150388,0
30000,Chlorurus_atrilunula,Scarus_altipinnis,8.56203,0.933213,-0.160625,0.133487,0
31000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.164672,0.0844723,0.219422,0
31000,Scarus_chameleon,Scarus_festivus,15.3195,0.845741,0.214422,2.10461,0
31000,Scarus_dubius,Scarus_quoyi,12.3145,0.28334,-0.0655038,0.0934777,0
31000,Chlorurus_atrilunula,Scarus_altipinnis,7.03636,1.27765,-0.157491,0.0820465,0
32000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0752495,0.366502,0.103974,0
32000,Hipposcarus_longiceps,NA,13.4836,0.361283,0.151438,0.447294,0
32000,Scarus_xanthopleura,NA,11.9067,0.0182545,0.0244036,0.742424,0
